n,iterativeTime,divConTime,strassenTime
2,1.550000160932541e-05,4.2599996959324926e-05,8.84000000951346e-05
2,2.5499997718725353e-05,6.779999966965988e-05,0.00011230000018258579
2,1.3100001524435356e-05,3.9200000173877925e-05,0.00010279999696649611
2,1.3999997463542968e-05,5.610000152955763e-05,8.969999908003956e-05
2,1.979999797185883e-05,5.6499997299397364e-05,7.439999899361283e-05
2,1.0399999155197293e-05,8.620000153314322e-05,7.330000153160654e-05
4,6.420000136131421e-05,0.0003359000002092216,0.00041820000114967115
4,6.7299999500392e-05,0.00037480000173673034,0.0004867999996349681
4,7.479999840143137e-05,0.0003913999971700832,0.0004195000001345761
4,9.59999997576233e-05,0.0003423999987717252,0.00043559999903663993
4,0.00011799999992945231,0.00040169999920181,0.0004893000004813075
4,0.000139899999339832,0.00044549999802256934,0.00046380000276258215
8,0.0003071000028285198,0.0022791999981564004,0.0029495999988284893
8,0.00031549999766866677,0.002248400000098627,0.002976799998577917
15,0.0018799999998009298,0.01359519999823533,0.022376799999619834
15,0.0018744000008155126,0.013837300000886898,0.026595600000291597
15,0.0018321999996260274,0.015810599998076214,0.023211599997011945
15,0.00181220000013127,0.014313800002128119,0.02274109999780194
16,0.002265600000100676,0.020637599998735823,0.02391200000056415
16,0.0028511000018625055,0.01951050000207033,0.022506799999973737
27,0.012244099998497404,0.07943199999863282,0.17291329999716254
27,0.011612500002229353,0.07927619999827584,0.1597397000005003
27,0.01054929999736487,0.07374650000201655,0.1752572000004875
27,0.01109569999971427,0.07872800000041025,0.16916689999925438
32,0.017681099998299032,0.1767809999983001,0.1774586999999883
32,0.017737699999997858,0.20931760000166832,0.1686431000016455
41,0.040558699998655356,0.24774150000303052,1.1958190000004834
41,0.03780939999705879,0.23593090000213124,1.1942983000008098
42,0.045311099998798454,0.27570360000026994,1.302647699998488
42,0.045847500001400476,0.3006901000007929,1.2154970000010508
64,0.19181559999924502,1.3683511999988696,1.2836276999987604
64,0.15202249999856576,1.2153894000002765,1.2556041000025289
71,0.21514839999872493,1.5253824999999779,9.274046599999565
